Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ejemplo2D:md1,,,Ejemplo2D:md2,,,Ejemplo2D:md3,,,Ejemplo2D:md4,,,Ejemplo2D:pd1,,,Ejemplo2D:pd2,,,Ejemplo2D:pd3,,,Ejemplo2D:pd4,,
Time,Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
3.52,89,0,107.9506847,996.407848,0,93.70835725,933.8923917,0,226.1499517,970.0239544,0,212.299309,907.0074431,0,377.5687416,772.7587168,0,323.6251816,807.4158733,0,312.5536499,670.5813494,0,258.0056827,705.0406046
3.56,90,0,106.9912659,1003.135209,0,96.16537438,939.9384823,0,226.4490582,983.2100378,0,216.041487,919.5342695,0,386.7168075,794.9063213,0,331.3981768,827.3235277,0,325.9439945,690.1502152,0,270.0295753,722.3449155
3.6,91,0,106.9912659,1003.135209,0,96.16537438,939.9384823,0,226.4490582,983.2100378,0,216.041487,919.5342695,0,387.6608226,794.6467995,0,332.0948793,826.6382376,0,327.6942628,689.4270852,0,271.5342572,721.1914484
3.64,92,0,107.8638926,997.143416,0,93.99203442,934.5447122,0,226.2173336,971.4599667,0,212.7401205,908.3625363,0,386.1179133,773.0119796,0,330.0185403,804.0585014,0,327.9405602,666.7925268,0,271.2510527,697.601953
3.68,93,0,108.4455003,991.1164108,0,91.56018876,929.2624504,0,225.4171898,959.734881,0,208.9019231,897.363678,0,383.5675416,751.6129694,0,326.9508059,781.705683,0,327.1960573,644.4241998,0,269.993284,674.269865
3.72,94,0,108.7347258,985.0683196,0,88.87553721,924.1040777,0,224.0505022,948.0622622,0,204.5358907,886.5634741,0,380.0199978,730.4988735,0,322.9021148,759.6291603,0,325.4705274,622.3714865,0,267.7708714,651.2448427
3.76,95,0,108.7308913,979.0133181,0,85.94437216,919.0816844,0,222.120474,936.469469,0,199.6522567,875.9872384,0,375.4879268,709.7182018,0,317.8852551,737.8777187,0,322.7760934,600.6831653,0,264.5960801,628.5759432
3.8,96,0,108.4340057,972.9655981,0,82.77356374,914.2070422,0,219.6316289,924.9836727,0,194.2624675,865.6597598,0,369.9862967,689.3187561,0,311.9153341,716.4994381,0,319.1271972,579.4072982,0,260.4834897,606.3115092
3.84,97,0,107.8447649,966.9393344,0,79.37054379,909.4915764,0,216.5898003,913.6317943,0,188.3791557,855.6052441,0,363.532363,669.3475182,0,305.0097412,695.5415807,0,314.5405637,558.5911181,0,255.4499577,584.4990566
3.88,98,0,106.9645499,960.9486516,0,75.74328842,904.9463392,0,213.0021178,902.4404406,0,182.016111,845.8472574,0,356.1456267,649.8505405,0,297.1881068,675.0504813,0,309.035159,538.2809192,0,249.5145782,563.1851651
3.92,99,0,105.7954239,955.0075909,0,71.90029928,900.5819839,0,208.8769902,891.4358421,0,175.1882471,836.4086707,0,347.847787,630.8728375,0,288.4722546,655.0714394,0,302.6321435,518.521949,0,242.6986349,542.4153697
3.96,100,0,104.340127,949.130077,0,67.85058368,896.4087397,0,204.2240862,880.6437918,0,167.9115675,827.3116066,0,338.6626898,612.4582814,0,278.8861504,635.6486137,0,295.3548205,499.3583034,0,235.0255493,522.2340558
4,101,0,102.6020702,943.3298858,0,63.60363348,892.4363882,0,199.0543113,870.0895845,0,160.2031273,818.5773869,0,328.6162701,594.6494987,0,268.4558439,616.8249196,0,287.2285785,480.8328235,0,226.5208233,502.6843557
4.04,102,0,100.5853273,937.6206121,0,59.1694028,888.6742397,0,193.3797827,859.7979573,0,152.080994,810.2264832,0,317.7364903,577.4877707,0,257.2094075,598.6419292,0,278.28083,462.9869959,0,217.2119777,483.8080496
